,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,61,26,0.4022998505747126,0.0737923486005089,12.8,1.0,5.5200000000000005,12.8,1088,1858,2.5916030534351147,13,5.214747039827772
1,321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,48,25,0.3150694931506849,0.08276743990929705,13.35593220338983,1.0,5.742372881355933,13.35593220338983,788,1395,2.5797665369649807,19,5.199283154121864
2,2345.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,30,15,0.3333343333333333,0.07317173170731707,10.7,1.0,4.68,10.7,535,905,2.61046511627907,8,5.303867403314917
3,4321.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,5,3,0.250001,0.04545554545454546,22.166666666666668,1.0,9.266666666666667,22.166666666666668,133,192,3.065040650406504,1,6.119791666666667
4,432.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,41,16,0.4385974912280701,0.100001,12.925,1.0,5.57,12.925,517,872,2.47,3,5.139908256880734
5,2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,79,25,0.5192317692307693,0.0896561724137931,12.292134831460674,1.0,5.316853932584269,12.292134831460674,1094,1809,3.019462465245598,3,5.7407407407407405
6,3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,70,42,0.250001,0.08104296816208394,14.522222222222222,1.0,6.20888888888889,14.522222222222222,1307,2301,2.6593578700078306,10,5.0812690134724035
7,3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,50,64,-0.12280601754385964,0.07983293277310924,11.615384615384615,1.0,5.046153846153846,11.615384615384615,1208,1998,2.5209731543624163,2,5.275275275275275
8,4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,40,23,0.2698422698412698,0.07334209429569266,13.457627118644067,1.0,5.783050847457627,13.457627118644067,794,1327,2.839080459770115,9,5.655614167294649
9,4741.0,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,34,31,0.04615484615384616,0.06878406878306878,11.155844155844155,1.0,4.862337662337662,11.155844155844155,859,1369,2.6034063260340634,7,5.2344777209642075
10,5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,62,26,0.4090919090909091,0.09391775560298826,11.8375,1.0,5.135000000000001,11.8375,947,1793,2.63265306122449,33,5.024539877300613
11,5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,68,24,0.4782618695652174,0.08582189552238806,11.6,1.0,5.04,11.6,986,1671,2.710114702815433,12,5.357271095152603
12,6126.4,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,29,3,0.812501,0.065440672801636,16.384615384615383,1.0,6.953846153846154,16.384615384615383,426,676,2.8792270531400965,1,5.673076923076923
13,6588.2,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,84,42,0.3333343333333333,0.13016628925619836,88.33333333333333,1.0,35.733333333333334,88.33333333333333,1060,1977,2.513592233009709,16,4.903388973191705
14,7050.0,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,21,3,0.750001,0.04067896610169491,10.83673469387755,1.0,4.73469387755102,10.83673469387755,531,898,2.7678916827853,1,5.4699331848552335
15,7511.8,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,18,9,0.3333343333333333,0.04477711940298507,11.71111111111111,1.0,5.084444444444444,11.71111111111111,527,860,2.827450980392157,1,5.727906976744186
